time,x,y,z
27389,-0.08681,9.79176,-0.11979
27437,-0.08193,9.80129,-0.11501
27485,-0.06761,9.79634,-0.12456
27536,-0.08194,9.80126,-0.12456
27586,-0.07232,9.80594,-0.12934
27635,-0.07727,9.78689,-0.11978
27685,-0.08208,9.78688,-0.12456
27736,-0.08679,9.79646,-0.13412
27786,-0.08680,9.79176,-0.10068
27836,-0.07254,9.78202,-0.11978
27885,-0.08206,9.78693,-0.11501
27935,-0.08189,9.80604,-0.11979
27985,-0.08686,9.78694,-0.12934
28035,-0.08194,9.80125,-0.12456
28085,-0.06767,9.79154,-0.12455
28136,-0.07720,9.79640,-0.12934
28186,-0.08207,9.78690,-0.12456
28236,-0.08680,9.79178,-0.10068
28286,-0.08205,9.78696,-0.11023
28336,-0.06770,9.78679,-0.11978
28389,-0.06283,9.79630,-0.12455
28436,-0.08193,9.80127,-0.11979
28486,-0.08206,9.78694,-0.11023
28535,-0.07728,9.78686,-0.12456
28585,-0.09159,9.79181,-0.11024
28635,-0.07728,9.78687,-0.11978
28685,-0.07246,9.79157,-0.11977
28735,-0.08681,9.79175,-0.10545
28786,-0.06766,9.79155,-0.11022
28836,-0.08691,9.78214,-0.12456
28886,-0.08198,9.79649,-0.11979
28936,-0.08192,9.80130,-0.10546
28986,-0.08681,9.79174,-0.12457
29035,-0.07727,9.78689,-0.11501
29086,-0.07242,9.79167,-0.10545
29136,-0.07723,9.79167,-0.12456
29186,-0.07257,9.77728,-0.12456
29236,-0.06774,9.78201,-0.12456
29286,-0.08194,9.80126,-0.11979
29336,-0.07232,9.80594,-0.11978
29390,-0.05337,9.78189,-0.10544
29436,-0.09151,9.80136,-0.11501
29486,-0.08689,9.78221,-0.11979
29535,-0.08193,9.80128,-0.11979
29586,-0.07724,9.79165,-0.12934
29636,-0.06766,9.79156,-0.12933
29686,-0.08206,9.78693,-0.11501
29736,-0.08683,9.78702,-0.09590
29786,-0.08185,9.81082,-0.11978
29836,-0.07241,9.79637,-0.12456
29885,-0.06758,9.80110,-0.11977
29936,-0.07244,9.79161,-0.11022
29985,-0.05814,9.78665,-0.12455
30036,-0.08204,9.79166,-0.12456
30085,-0.08672,9.80131,-0.11979
30135,-0.06761,9.79636,-0.11500
30186,-0.08201,9.79173,-0.11023
30236,-0.06762,9.79633,-0.12455
30286,-0.08195,9.80123,-0.12456
30336,-0.07727,9.78688,-0.11023
30390,-0.07727,9.78688,-0.11023
30436,-0.07715,9.80120,-0.11978
30486,-0.06771,9.78677,-0.12933
30535,-0.08211,9.78215,-0.11979
30586,-0.08680,9.79177,-0.11501
30635,-0.06761,9.79637,-0.11500
30686,-0.08190,9.80604,-0.12934
30736,-0.06286,9.79155,-0.11500
30785,-0.07719,9.79645,-0.11979
30836,-0.07728,9.78687,-0.12934
30886,-0.05807,9.79150,-0.11022
30935,-0.06755,9.80116,-0.10545
30985,-0.05811,9.78673,-0.10544
31036,-0.08207,9.78692,-0.12456
31085,-0.09159,9.79182,-0.11502
31136,-0.08206,9.78694,-0.11979
31186,-0.07231,9.80595,-0.12456
31236,-0.07723,9.79166,-0.12456
31286,-0.06774,9.78200,-0.11978
31336,-0.08208,9.78690,-0.12934
31385,-0.06757,9.80112,-0.11978
31439,-0.07243,9.79164,-0.10545
31485,-0.08210,9.78216,-0.11979
31536,-0.08197,9.79651,-0.11501
31586,-0.07243,9.79166,-0.10545
31636,-0.06278,9.80108,-0.12455
31686,-0.07253,9.78205,-0.11978
31736,-0.06776,9.78197,-0.13411
31785,-0.07239,9.79643,-0.10545
31835,-0.08205,9.78695,-0.11023
31886,-0.08198,9.79647,-0.13412
31936,-0.07731,9.78212,-0.11979
31985,-0.08201,9.79173,-0.11979
32035,-0.06760,9.79640,-0.11023
32085,-0.07248,9.78686,-0.11978
32136,-0.08197,9.79651,-0.11979
32186,-0.06760,9.79637,-0.11978
32236,-0.06764,9.79160,-0.11500
32286,-0.07244,9.79162,-0.11978
32336,-0.06765,9.79157,-0.11978
32386,-0.08672,9.80132,-0.11979
32441,-0.07726,9.78692,-0.10545
32486,-0.07243,9.79165,-0.11501
32535,-0.07252,9.78208,-0.11978
32586,-0.08681,9.79176,-0.12457
32636,-0.07235,9.80121,-0.11501
32685,-0.07250,9.78680,-0.13889
32736,-0.07722,9.79168,-0.11501
32786,-0.09136,9.81575,-0.10546
32836,-0.06756,9.80116,-0.11023
32885,-0.07240,9.79641,-0.11978
32936,-0.06291,9.78676,-0.11978
32985,-0.07726,9.78693,-0.10546
33035,-0.07709,9.80603,-0.11501
33085,-0.07735,9.77736,-0.11501
33136,-0.07250,9.78681,-0.13889
33186,-0.07240,9.79641,-0.12456
33236,-0.07246,9.78691,-0.10068
33288,-0.08676,9.79654,-0.11979
33336,-0.07718,9.79647,-0.11023
33385,-0.07736,9.77733,-0.11978
33439,-0.07245,9.79160,-0.12934
33485,-0.07245,9.79160,-0.13412
33535,-0.07235,9.80121,-0.11501
33585,-0.08662,9.81092,-0.11024
33636,-0.07260,9.77254,-0.11023
33685,-0.07726,9.78693,-0.10545
33736,-0.08689,9.78222,-0.11501
33786,-0.07248,9.78686,-0.11501
33835,-0.07236,9.80118,-0.12456
33886,-0.09151,9.80137,-0.11979
33936,-0.07724,9.79163,-0.13412
33985,-0.07262,9.77249,-0.12456
34036,-0.08675,9.79658,-0.10546
34086,-0.07732,9.78209,-0.11978
34135,-0.07744,9.76778,-0.11023
34185,-0.06779,9.77721,-0.12455
34236,-0.07231,9.80596,-0.11500
34285,-0.06773,9.78203,-0.11500
34336,-0.07245,9.79161,-0.12456
34385,-0.08190,9.80136,-0.08635
34444,-0.06282,9.79630,-0.12455
34485,-0.06770,9.78678,-0.12933
34535,-0.07230,9.80600,-0.11023
34586,-0.07717,9.79648,-0.11023
34636,-0.09164,9.78704,-0.11979
34687,-0.05809,9.79145,-0.13410
34736,-0.07727,9.78690,-0.11501
34786,-0.07723,9.79167,-0.11978
34835,-0.07733,9.78207,-0.13412
34886,-0.06766,9.79156,-0.12456
34936,-0.07254,9.78204,-0.12934
